14101174,4,63,6315,102113020,10786,2012-09-30,128,OZ,1,3.89
14101174,4,34,3411,101111111,5168,2012-09-30,13.5,OZ,1,5.01
14101174,4,33,3303,102840020,15598,2012-09-30,8.75,OZ,1,0
14101174,4,19,1908,105150050,9189,2012-09-30,18,OZ,1,3.97
14101174,4,99,9908,1081509888,13686,2012-09-30,8,OZ,1,1.99
14101174,4,57,5704,102113020,10786,2012-09-30,6,OZ,3,1.8
14101174,4,36,3611,107114272,915,2012-09-30,405.6,OZ,1,3.99
14101174,4,9,921,1069794161,24912,2012-09-30,32,OZ,1,7.59
14101174,4,21,2111,102113020,15704,2012-09-30,64,OZ,1,0.9
14101174,4,57,5705,102113020,10786,2012-09-30,6,OZ,1,0.6
14101174,4,5,501,1088491282,14900,2012-09-30,20,OZ,2,8.58
14101174,4,5,516,103000030,14760,2012-09-30,6.7,OZ,2,3.7
14101174,4,33,3319,102840020,15598,2012-09-30,8.5,OZ,1,4.29
14101174,4,9,902,104400040,8463,2012-09-30,14.4,OZ,1,4.29
14101174,4,99,9908,10000,33170,2012-09-30,10,OZ,4,0.4
14101174,4,21,2110,103120030,12957,2012-09-30,64,OZ,1,2.5
14101174,4,9,901,103010030,15828,2012-09-30,13,OZ,1,2.99
14101174,4,51,5122,102370020,18969,2012-09-30,23,OZ,1,7.79
14101174,4,36,3601,104900040,3809,2012-09-30,67.6,OZ,4,7.16
14101174,4,9,907,1060654161,11719,2012-09-30,24,OZ,1,4.99
14101174,4,26,2634,104200040,14813,2012-09-30,24,RL,1,11.83
14101174,4,9,901,103010030,6852,2012-09-30,11.5,OZ,1,1.39
14101174,4,9,907,104500040,12473,2012-09-30,24,OZ,1,2
14101174,4,99,9908,103338333,33170,2012-09-30,80,OZ,1,1.99
14101174,4,70,7002,1030813737,25162,2012-09-30,30,CT,1,3.8
14101174,4,26,2622,102113020,15704,2012-09-30,50,CT,1,3.19
14101174,4,56,5609,102113020,10786,2012-09-30,32,OZ,2,7.98
14101174,4,45,4508,104440040,7504,2012-09-30,11,OZ,1,4.79
14101174,4,58,5832,107989373,29344,2012-09-30,40,OZ,1,8.49
